N,P,K,temperature,humidity,ph,rainfall,label,NPK_ratio,NP_ratio,NK_ratio,PK_ratio,nutrient_sum,nutrient_balance,nutrient_dominance,temp_humidity_index,heat_stress_index,water_stress_index,moisture_availability,evapotranspiration,ph_deviation_neutral,acidic_soil,alkaline_soil,climate_zone,rainfall_category,N_category,P_category,K_category,tropical_suitability,temperate_suitability,arid_suitability
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1.0681818181818181,1.8431372549019607,2.473684210526316,1.3157894736842106,181,29.871948937646057,0.5164835164835165,20.703064514330258,4.962787535669742,8.165985309651933,169.06092068879715,2.367889338123752,0.051980170000000214,0,0,temperate,high,high,medium,low,1,0,0
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,0.6818181818181818,1.2244897959183674,1.5,1.2,147,10.535653752852738,0.40540540540540543,19.498583733044303,4.783510416955698,9.516738271109949,185.5629180447046,2.070010077906912,0.042299069000000245,0,0,temperate,high,medium,medium,low,0,0,0
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,1.0625,2.1794871794871793,2.0238095238095237,0.9047619047619048,164,26.312227829154512,0.5151515151515151,17.871623104460287,3.7154946655397096,12.815756547382751,229.0383708133438,1.343005318208466,0.7509493440000004,1,0,temperate,high,high,low,medium,0,0,0
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,1.2133333333333334,2.5277777777777777,2.275,0.875,165,31.240998703626616,0.5481927710843374,19.134636966543972,4.659282603456027,8.668651034697938,165.87149053860082,2.2589236031788573,0.02914024599999987,0,0,temperate,high,high,low,low,0,0,0
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,1.0266666666666666,1.9743589743589745,2.081081081081081,1.027027027027027,151,23.115651263447745,0.506578947368421,17.53424897528722,4.331003424712781,10.269948537159351,180.0758346139388,1.9287048156405635,1.0460667240000001,1,0,temperate,high,medium,low,low,0,0,0
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,1.1578947368421053,2.4444444444444446,2.1463414634146343,0.8536585365853658,163,29.26317367158479,0.5365853658536586,19.70948560837395,3.8699506516260542,12.353928168085897,243.4895694357745,1.328516453770422,1.1460679200000001,1,0,temperate,high,high,low,low,0,0,0
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.0853658536585367,1.934782608695652,2.4054054054054053,1.2162162162162162,170,28.36077102854105,0.52046783625731,17.161276875876855,4.163764704123144,8.698574983036446,149.27865370946427,2.244647666781881,0.5575246250000001,1,0,temperate,moderate,high,medium,low,0,0,0
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,0.9047619047619048,1.853658536585366,1.7272727272727273,0.9090909090909091,159,19.974984355438178,0.475,20.910156032199474,4.247299277800525,9.197445188664434,192.3200139925756,1.8356037892791806,1.929824333,1,0,temperate,high,medium,low,medium,1,0,0
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,0.6633663366336634,1.1166666666666667,1.5952380952380953,1.4047619047619047,167,13.316656236958785,0.39880952380952384,17.771869471700754,4.175797878299248,9.721128386794144,172.76262480775043,1.9571964583706618,0.987367409,1,0,temperate,high,medium,medium,medium,0,0,0
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,0.9764705882352941,1.9761904761904763,1.8863636363636365,0.9318181818181818,167,23.692474191889147,0.49404761904761907,17.40589849399454,3.6466370060054647,11.072660658855082,192.7296074864782,1.564357959091565,0.7459715490000001,1,0,temperate,high,high,medium,medium,0,0,0
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,1.1529411764705881,2.0416666666666665,2.5789473684210527,1.236842105263158,182,32.715949219506584,0.5355191256830601,19.100007963239996,4.383805476760002,9.54095964748049,182.23240524382882,1.9565483934238779,0.3754828510000001,0,0,temperate,high,high,medium,low,0,0,0
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,0.6947368421052632,1.2222222222222223,1.5714285714285714,1.2619047619047619,160,12.503332889007368,0.40993788819875776,20.191877437416466,4.883757962583536,10.24914752509123,206.9495306646424,1.900266190170449,0.7789151539999999,0,1,temperate,high,medium,medium,medium,1,0,0
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,0.941747572815534,1.6166666666666667,2.2045454545454546,1.3409090909090908,199,27.73685875028629,0.485,22.153395675442177,4.205875914557825,10.29461731419567,228.06073068863444,1.5499327097858864,0.7134998240000003,1,0,temperate,high,high,medium,medium,1,0,0
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1.0543478260869565,1.9019607843137254,2.3095238095238093,1.1904761904761905,188,30.072135496724094,0.5132275132275133,19.757062241152603,4.772164568847398,10.610338622410088,209.62912056266148,1.8335903247149037,0.07095999499999994,0,0,temperate,high,high,medium,medium,0,0,0
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,0.6382978723404256,1.2,1.3333333333333333,1.0888888888888888,153,8.18535277187245,0.38961038961038963,17.55504973473851,3.220711735261491,11.555825043846156,202.86308337065606,1.3415101017175266,0.7551585090000001,1,0,temperate,high,medium,medium,medium,0,0,0
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,0.9655172413793104,1.6153846153846154,2.3333333333333335,1.4166666666666667,170,24.98666310921355,0.49122807017543857,17.984918276070992,4.316655993929007,8.877360813327014,159.65860873488145,2.1803592021338507,0.9566951010000002,1,0,temperate,moderate,high,medium,low,0,0,0
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,0.7373737373737373,1.2586206896551724,1.7380952380952381,1.3571428571428572,171,16.0,0.42441860465116277,18.217497027643354,3.2290425523566437,12.692104448115355,231.21837505808048,1.1862682379859946,1.1752908829999997,1,0,temperate,high,medium,medium,medium,0,0,0
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,1.2105263157894737,2.5555555555555554,2.2439024390243905,0.8536585365853658,167,31.564748269760262,0.5476190476190477,17.816929028252588,4.362389851747414,9.021389691115708,160.73345986281808,2.1802325853820315,0.6426106340000004,1,0,temperate,high,high,low,low,0,0,0
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,1.103896103896104,2.236842105263158,2.125,0.925,161,27.15388247255507,0.5246913580246914,20.29356145006322,4.234275969936782,9.160029857210297,185.889628791711,1.884616598319421,0.6358650319999999,1,0,temperate,high,high,low,low,0,0,0
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1.065217391304348,1.8148148148148149,2.5128205128205128,1.358974358974359,189,31.22498999199199,0.5157894736842106,16.545828530880918,3.7212475291190805,13.34389462986009,220.78579247980775,1.3759886704225661,1.9854927299999998,1,0,temperate,high,high,medium,low,0,0,0
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,0.8888888888888888,1.6,1.9555555555555555,1.2,186,23.065125189341593,0.47058823529411764,21.587563261468425,4.147866038531576,9.058801175700612,195.55744345350152,1.7791910151680177,0.8505893889999996,1,0,temperate,high,high,medium,medium,1,0,0
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,0.9693877551020408,1.6964285714285714,2.2093023255813953,1.2790697674418605,192,27.622454633866266,0.49222797927461137,22.01185868763597,4.7834805723640255,7.215710046583677,158.83118987635507,2.474034098481008,1.0493394440000001,1,0,temperate,moderate,high,medium,medium,1,0,0
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,1.064516129032258,1.706896551724138,2.75,1.5833333333333333,191,32.516662395352526,0.515625,21.721060639001813,5.03648107099819,10.176566612553735,221.0458204881209,1.8496080855777535,1.0396299390000001,1,0,temperate,high,high,medium,low,1,0,0
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,1.25,2.375,2.5675675675675675,1.054054054054054,170,33.231511150312336,0.5555555555555556,19.842936327172456,4.020368342827545,11.953472850665323,237.19200066433663,1.409422366242483,1.4386013579999997,1,0,temperate,high,high,low,low,0,0,0
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,0.6818181818181818,1.3636363636363635,1.3333333333333333,0.9555555555555556,147,9.539392014169456,0.40540540540540543,17.436097309109662,3.583349650890335,14.19646519091861,247.53094851424498,1.2008470073878224,0.41624510699999995,0,0,temperate,high,medium,medium,medium,0,0,0
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,0.7325581395348837,1.4,1.5,1.0476190476190477,148,11.930353445448853,0.4228187919463087,20.23974280539327,3.9332455846067322,10.633122858170536,215.2116718675198,1.530241192266212,1.4166299579999997,1,0,temperate,high,medium,medium,medium,0,0,0
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,0.7848101265822784,1.441860465116279,1.6756756756756757,1.135135135135135,140,13.613718571108091,0.4397163120567376,18.69600438441404,4.085333775585963,10.91763447138963,204.11614194453034,1.6425544083742762,0.5699897849999997,1,0,temperate,high,medium,medium,low,0,0,0
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,0.7191011235955056,1.391304347826087,1.4545454545454546,1.0227272727272727,152,11.590225767142472,0.41830065359477125,21.408168670984164,4.221632379015837,8.189692822449747,175.32632530655258,2.0112569808293403,1.4651218439999996,1,0,temperate,high,medium,medium,medium,1,0,0
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,0.8556701030927835,1.360655737704918,2.2432432432432434,1.6216216216216217,179,23.501772982763093,0.46111111111111114,20.514778933588136,5.082270446411865,7.846017524071362,160.95931501538251,2.530571378292962,0.09601401399999965,0,0,temperate,high,high,medium,low,1,0,0
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,1.0123456790123457,2.0,2.0,0.975609756097561,162,24.24871130596428,0.5030674846625767,20.211653640524133,3.6190213194758662,12.528395356033172,253.2195876076935,1.2121583250233905,0.7285211619999998,1,0,temperate,high,high,low,low,0,0,0
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,0.8673469387755102,1.6037735849056605,1.8478260869565217,1.1304347826086956,182,21.361959960016154,0.4644808743169399,21.673683177970258,4.639871802029743,10.091209412860564,218.71367569689116,1.7473634089416403,0.22428550299999994,0,0,temperate,high,high,medium,medium,1,0,0
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,1.2297297297297298,2.5277777777777777,2.3333333333333335,0.8974358974358975,164,31.50132272355136,0.5515151515151515,20.048750907798865,4.848531392201137,7.377484758647734,147.90935425221105,2.6396718877897816,0.8657127899999999,1,0,temperate,moderate,high,low,low,0,0,0
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,0.8260869565217391,1.52,1.7674418604651163,1.1395348837209303,167,17.95364401266031,0.4523809523809524,21.085085080184275,3.873693919815722,7.891251443029325,166.38770806540026,1.9667813644070105,1.7936268469999996,1,0,temperate,moderate,medium,medium,medium,0,0,0
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,0.9487179487179487,1.85,1.8974358974358974,1.0,151,20.502032419575706,0.4868421052631579,19.66014521100038,3.5809897989996187,10.027279020569658,197.13776161561717,1.5366064451176171,0.7820513130000002,0,1,temperate,high,medium,low,low,0,0,0
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,0.9518072289156626,1.7954545454545454,1.975,1.075,161,22.03028218914441,0.4876543209876543,17.486771505696353,4.179511454303648,9.73005887023641,170.1473162007981,1.9825568115531145,0.06277901500000027,0,0,temperate,high,medium,medium,low,0,0,0
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,0.8712871287128713,1.5714285714285714,1.9130434782608696,1.1956521739130435,188,22.50185177565023,0.4656084656084656,19.81025851430526,4.825190065694739,10.298991604560424,204.02568612300155,1.901775491430355,0.730367824,0,1,temperate,high,high,medium,medium,0,0,0
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,0.75,1.6216216216216217,1.3636363636363635,0.8181818181818182,139,12.342339054382412,0.42857142857142855,19.462696872213794,3.968521747786206,9.385121553699198,182.65977590852765,1.804654158509457,1.7137962890000003,1,0,temperate,high,medium,low,medium,0,0,0
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,0.76,1.2459016393442623,1.9,1.5,175,18.556220879622373,0.4318181818181818,16.10604053069618,3.939373669303818,10.40542307676536,167.59016581342425,1.8886539888879859,0.23375995500000002,0,0,temperate,high,medium,medium,low,0,0,0
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,0.9393939393939394,1.631578947368421,2.1627906976744184,1.302325581395349,191,26.350205565295564,0.484375,19.616789982345647,4.240450337654352,8.177594243222178,160.41814883012822,2.173532898716737,0.38276260299999976,0,0,temperate,moderate,high,medium,medium,0,0,0
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,0.625,1.0655737704918034,1.4772727272727273,1.3636363636363635,168,11.532562594670797,0.38461538461538464,17.994883323927727,3.9771106460722727,10.347886550962857,186.2090111338175,1.7492284961624114,1.341830518,1,0,temperate,high,medium,medium,medium,0,0,0
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,1.0674157303370786,1.7924528301886793,2.5675675675675675,1.4054054054054055,183,30.512292604784715,0.5163043478260869,21.989553818780564,4.2396151512194375,10.923272972456665,240.19789890506695,1.4797526209184122,1.456639762,1,0,temperate,high,high,medium,low,1,0,0
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,0.9615384615384616,1.9230769230769231,1.875,0.95,152,21.07921567168317,0.49019607843137253,19.881340899643178,3.5654271103568225,12.109722179146514,240.7575148435817,1.255724582698209,0.7848902850000004,1,0,temperate,high,medium,low,low,0,0,0
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,0.7956989247311828,1.3454545454545455,1.8974358974358974,1.3846153846153846,166,18.036999011291577,0.4431137724550898,21.41472882339951,4.24080578660049,8.472981039158318,181.44659127938118,1.9508823534015634,0.12027297200000042,0,0,temperate,high,medium,medium,low,1,0,0
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,1.1097560975609757,2.4594594594594597,1.9782608695652173,0.782608695652174,172,29.501412395567325,0.5260115606936416,20.15468586949662,4.288768900503378,10.96310637434497,220.95796512879895,1.600429061881499,1.0493524230000002,1,0,temperate,high,high,low,medium,0,0,0
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,0.8160919540229885,1.5106382978723405,1.7317073170731707,1.1219512195121952,157,16.441816606851365,0.44936708860759494,16.65481341118105,3.6253802888189535,9.465075957336639,157.63907399209754,1.8886755880858488,0.23670543600000027,0,0,temperate,moderate,medium,medium,low,0,0,0
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,1.0879120879120878,1.7678571428571428,2.75,1.5277777777777777,189,32.7414110874898,0.5210526315789473,17.430982715804713,4.292848584195286,12.795285295738786,223.03439683381302,1.5443978030392966,0.4983021839999999,0,0,temperate,high,high,medium,low,0,0,0
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,0.9113924050632911,1.7560975609756098,1.8461538461538463,1.0256410256410255,150,19.078784028338912,0.4768211920529801,16.782333102967442,3.6321371870325594,12.00869417219642,201.5339057294642,1.4815910418631133,0.5924906170000002,0,1,temperate,high,medium,low,low,0,0,0
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,0.7980769230769231,1.4067796610169492,1.8043478260869565,1.2608695652173914,186,19.313207915827967,0.44385026737967914,21.51036972806626,4.244916391933742,9.538340158808532,205.17322340803378,1.7279451619031785,1.1246542489999998,1,0,temperate,high,high,medium,medium,1,0,0
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,0.9587628865979382,1.576271186440678,2.3846153846153846,1.4871794871794872,189,27.83882181415011,0.48947368421052634,17.270077346129757,3.3451368938702446,13.56013905291338,234.18465026808877,1.1966355467803074,0.0675997749999997,0,0,temperate,high,high,medium,low,0,0,0
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,0.8860759493670886,1.8918918918918919,1.627906976744186,0.8372093023255814,148,18.147543451754935,0.4697986577181208,17.632046652388293,4.20902209761171,9.266205523939847,163.38216808872548,2.0797225045582852,0.0537901190000003,0,0,temperate,high,medium,low,medium,0,0,0
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,0.8444444444444444,1.5833333333333333,1.7674418604651163,1.0930232558139534,165,18.35755975068582,0.4578313253012048,16.727941132316374,3.3557552876836256,13.1269270400573,219.5864627742905,1.2728685722875062,1.260824973,1,0,temperate,high,medium,medium,medium,0,0,0
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,1.2692307692307692,2.357142857142857,2.675675675675676,1.1081081081081081,176,35.019042438840806,0.559322033898305,20.238610189845105,4.219410680154893,7.4642847379335,151.06674915704625,2.3112253304495645,0.2613478210000002,0,0,temperate,moderate,high,medium,low,0,0,0
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,1.076086956521739,1.8,2.6052631578947367,1.4210526315789473,190,32.036437588054845,0.518324607329843,16.98561679569677,4.157858164303226,9.39642582763037,159.60408835731735,2.092813916774054,1.4051803740000004,1,0,temperate,moderate,high,medium,low,0,0,0
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,0.9052631578947369,1.4333333333333333,2.388888888888889,1.6388888888888888,180,25.514701644346147,0.47513812154696133,21.174194422085083,4.613011247914913,9.443134107519606,199.9507575464431,1.8943667924566596,0.053363630999999856,0,0,temperate,high,high,medium,low,1,0,0
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,0.7840909090909091,1.4680851063829787,1.6428571428571428,1.0952380952380953,156,14.933184523068078,0.4394904458598726,18.980607509387106,4.660640700612895,11.12929097748346,211.24070390137672,1.7713636304311733,1.9878603310000003,1,0,temperate,high,medium,medium,medium,0,0,0
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,0.9680851063829787,1.5964912280701755,2.3947368421052633,1.4736842105263157,184,27.392213005402343,0.4918918918918919,18.878832187739278,4.553084132260719,11.501573858471343,217.13628276896944,1.6894315290327198,0.6365277919999999,1,0,temperate,high,high,medium,low,0,0,0
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,0.648936170212766,1.150943396226415,1.4523809523809523,1.2380952380952381,154,10.016652800877813,0.3935483870967742,20.953400415850002,4.02329476415,8.199651043665417,171.81057158816384,1.9644976248646908,0.11956877699999957,0,0,temperate,high,medium,medium,medium,0,0,0
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,0.7976190476190477,1.4565217391304348,1.7179487179487178,1.1538461538461537,150,15.132745950421556,0.44370860927152317,18.675680374648532,4.052230035351467,11.478728175785694,214.37305851844604,1.5532480277397644,0.3004108360000002,0,0,temperate,high,medium,medium,low,0,0,0
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,0.9875,1.8372093023255813,2.0789473684210527,1.105263157894737,158,22.94195574342635,0.4968553459119497,20.604855454415073,4.268151985584923,11.884748955794144,244.88353434614885,1.4438482927848584,0.4120812919999999,0,0,temperate,high,medium,medium,low,0,0,0
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,0.9069767441860465,1.7727272727272727,1.813953488372093,1.0,163,20.502032419575706,0.47560975609756095,17.69940685328537,3.624356416714627,9.01903435921984,159.63155854759188,1.884547140307186,0.28373661699999975,0,0,temperate,moderate,medium,medium,medium,0,0,0
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,0.8241758241758241,1.3636363636363635,2.027027027027027,1.4594594594594594,165,19.519221295943137,0.45180722891566266,22.2371772741804,4.057477335819599,9.79254127574943,217.75847631356876,1.575771426995498,0.023936392000000417,0,0,temperate,high,medium,medium,low,1,0,0
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,1.1829268292682926,2.6216216216216215,2.108695652173913,0.782608695652174,178,32.929217016706204,0.5418994413407822,18.19612992424076,4.032568275759241,12.5099174408693,227.63208309558325,1.4501510993776296,0.06091649499999985,0,0,temperate,high,high,low,medium,0,0,0
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,0.7282608695652174,1.3958333333333333,1.488888888888889,1.0444444444444445,158,12.503332889007368,0.42138364779874216,21.861981239047214,4.868742670952787,10.489968028703494,229.33148424172083,1.7363286704174214,0.8684746529999998,0,1,temperate,high,medium,medium,medium,1,0,0
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,0.9864864864864865,2.0277777777777777,1.8717948717948718,0.8974358974358975,146,21.1266025033211,0.4965986394557823,20.403994384410076,4.485217355589923,7.470953473434511,152.43729271814672,2.412105615980445,1.994693023,1,0,temperate,moderate,medium,low,low,0,0,0
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,1.0405405405405406,2.081081081081081,2.026315789473684,0.9473684210526315,150,23.388031127053,0.5099337748344371,21.900162662810622,4.984286117189377,7.237517030468199,158.50280024211565,2.561605396153474,0.8638681310000003,1,0,temperate,moderate,medium,low,low,1,0,0
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,1.0125,1.9285714285714286,2.076923076923077,1.0512820512820513,160,24.00694344004112,0.5031055900621118,18.988390662849525,3.6900704971504763,8.859212897318118,168.22219545963145,1.83664805198729,0.5240800759999997,0,1,temperate,high,high,medium,low,0,0,0
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,0.6732673267326733,1.1724137931034482,1.5454545454545454,1.2954545454545454,168,12.529964086141668,0.40236686390532544,20.9700275905742,5.118651159425798,7.0108705830876925,147.01814956129397,2.7985398642687493,1.2930567489999998,1,0,temperate,moderate,medium,medium,medium,1,0,0
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,0.8888888888888888,1.565217391304348,2.0,1.25,152,19.139836293274122,0.47058823529411764,21.093191347858987,4.33658383214101,7.68223284780137,162.042807437482,2.219819996068013,1.2414936770000002,1,0,temperate,moderate,medium,medium,low,1,0,0
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,0.6288659793814433,1.1296296296296295,1.3863636363636365,1.2045454545454546,157,9.018499505645789,0.3860759493670886,21.401497822398877,5.00173456760112,8.459842529909272,181.05330148169068,2.239243196670135,0.650393673,1,0,temperate,high,medium,medium,medium,1,0,0
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,0.8072289156626506,1.5227272727272727,1.675,1.075,149,15.14375558880073,0.44666666666666666,22.12910679026624,3.9146128797337627,7.170775897850078,158.68286561259166,2.0961369737557307,1.0000309740000004,1,0,temperate,moderate,medium,medium,low,1,0,0
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,0.6836734693877551,1.1355932203389831,1.675,1.45,164,14.29452109492771,0.40606060606060607,20.363647113174885,4.919075186825116,8.706169699138767,177.28936746067782,2.2347682783997023,1.5464079679999996,1,0,temperate,high,medium,medium,low,1,0,0
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,0.6666666666666666,1.0819672131147542,1.6923076923076923,1.5384615384615385,164,14.742229591663987,0.4,18.435073191250705,3.6506924287492972,10.492572441778906,193.43134092869423,1.5753636118996932,0.627423673,1,0,temperate,high,medium,medium,low,0,0,0
